gname	totalEvents	totalKilled	totalWounded	foreignTarget	ratioForeignTarget
Revolutionary Organization of Socialist Moslems	5	2	53	4	0.8
Revolutionary Patriotic Anti-Fascist Front (FRAP)	49	7	3	10	0.204081632653061
Revolutionary People's Struggle (ELA)	88	2	17	32	0.363636363636364
Revolutionary Peoples Army	2	0	0	0	0
Revolutionary Perspective	5	0	0	2	0.4
Revolutionary Popular Left	7	0	0	4	0.571428571428571
Revolutionary Proletarian Army	1	1	1	0	0
Revolutionary Proletarian Initiative Nuclei (NIPR)	2	0	0	0	0
Revolutionary Road	1	1	0	0	0
Revolutionary Security Apparatus	2	4	0	1	0.5
Revolutionary Solidarity	4	1	16	2	0.5
Revolutionary Struggle	22	1	7	4	0.181818181818182
Revolutionary Student Brigade	1	0	0	0	0
Revolutionary Student Front	3	1	0	2	0.666666666666667
Revolutionary United Front (RUF)	65	532.999999999	87	26	0.4
Revolutionary United Front Movement	1	0	5	0	0
Revolutionary Vanguard	2	0	11	1	0.5
Revolutionary Violence Units	1	0	0	1	1
Revolutionary Voice of the People (VPR)	2	0	0	0	0
Revolutionary Worker Clandestine Union of the People Party (PROCUP)	3	2	0	1	0.333333333333333
Revolutionary Workers Party	10	4	0	1	0.1
Revolutionary Workers Party of Bolivia (PRTB)	3	0	0	0	0
Revolutionary Workers' Council (Kakurokyo)	24	7	8	1	0.0416666666666667
Rezi Rezai International Brigades	1	0	1	1	1
Rhodesian guerillas	1	1	0	0	0
Ricardo Franco Front (Dissident FARC)	62	61	51	2	0.032258064516129
RIF Popular Front	1	0	0	0	0
Right Wing Christian extremists	2	1	0	0	0
Right Wing Lebanese Militiamen	1	3	0	0	0
Right Wing National Youth Front	1	0	0	0	0
Right Wing Vigilantes	5	11	2	0	0
Right-Wing Death Squad	20	225	19	0	0
Right-Wing Extremists	48	33	23	6	0.125
Right-Wing Group	19	18	139	2	0.105263157894737
Right-Wing Gunmen	2	0	1	0	0
Right-Wing Militants	3	0	0	1	0.333333333333333
Right-Wing Paramilitaries	13	99	12	0	0
Right-Wing Rebel Military Group	2	0	0	0	0
Right-wing Terrorists	2	1	1	0	0
Right-Wing Youths	1	0	1	1	1
Rightist supporters of Democratic Alliance	1	0	8	0	0
rioters	5	8	114	0	0
Rival Activists	10	13	70	0	0
Rival Afghan Group	1	7	7	1	1
Rival Bangledesh Chhatra League Faction	1	1	2	0	0
Rival caste	5	11	0	0	0
Rival clan	1	10	0	0	0
Rival Parts	1	2	0	0	0
Rival Party Members	1	1	2	0	0
Rival peasant band	1	4	1	0	0
Rival Soccer Clubs	1	0	30	0	0
Rival Zulu Group, name not stated	1	0	0	0	0
Riyadus-Salikhin Reconnaissance and Sabotage Battalion of Chechen Martyrs	10	412	1052	0	0
Rizvon Sadirov Group	2	1	0	1	0.5
Roberto Santucho Revolutionary Group	1	0	0	1	1
Robin Food	4	0	0	2	0.5
Robin Garcia Student Front	1	0	0	0	0
Rodolfo Walsh National Command	1	0	0	0	0
Rodrigo Franco Command	15	10	2	2	0.133333333333333
Rohingya Solidarity Organization	1	0	8	0	0
Roque Dalton Commando	1	0	0	1	1
ROSADO-SOTO Command	1	0	0	1	1
Rote Zora	2	0	0	1	0.5
Ruminahui Front	1	0	0	1	1
Runda Kumpulan Kecil (RKK)	24	13	71	1	0.0416666666666667
Russian Militia	1	0	0	1	1
Russian seperatisits	1	1	4	1	1
RVA	1	0	0	1	1
Rwanda Patriotic Front (RPF)	11	156	96	3	0.272727272727273
Rwenzururu Rebels	2	11	0	0	0
RYF	3	0	0	1	0.333333333333333
S. O. S. France	1	4	0	0	0
Sa'ad Militia	1	9	0	0	0
Sabaot Land Defense Force (SLDF)	4	19	11	0	0
Sabaot Tribe	1	0	0	0	0
Sabaot tribesmen	1	40	0	0	0
Saffron Tigers	1	2	0	0	0
Sagrado Corazon Fanatic Group	1	4	0	0	0
Saharan Revolutionary Armed Front (FARS)	3	32	5	0	0
Saif-ul-Muslimeen	1	0	0	1	1
Salafi Abu-Bakr al-Siddiq Army	2	3	8	0	0
Salafi Daawa Group	1	1	3	0	0
Salafi Extremists	1	0	0	0	0
Salafia Jihadia	5	45	100	4	0.8
Salafist Group for Preaching and Fighting (GSPC)	214	590	423	10	0.0467289719626168
Salah al-Din Squad	1	0	0	0	0
Salvadoran Guerrillas	2	18	21	1	0.5
Sammilito Sangskritik Jote (Alliance of Cultural Forums)	1	0	12	0	0
Samyukta Janatantrik Terai Mukti Morcha (SJTMM)	5	3	13	0	0
Samyukta Jatiya Mukti Morcha (SJMM)	7	0	5	0	0
Sandinist People's Army (EPS)	4	1	0	0	0
Sandinista National Liberation Front (FSLN)	209	241	127	20	0.0956937799043062
Sandinista Protester	1	0	0	0	0
Sandinistas	19	4	13	3	0.157894736842105
Sandval (union) Movement	1	0	1	0	0
Sanghiya Limbuwan Committee (SLC)	1	0	0	0	0
Sanidila Secessionist Movement	2	0	26	0	0
Saor Eire (Irish Republican Group)	2	2	0	0	0
Sardinian Autonomy Movement	1	0	0	0	0
Saudi Hizballah	1	19	386	1	1
Save Kashmir Movement	3	10	30	0	0
Save Our Israel Land	3	0	0	1	0.333333333333333
Save Uganda Movement	3	0	0	0	0
Scheutzen group	1	2	0	0	0
Schiedam Youth Front	1	0	0	1	1
Scooter Borne terrorists	2	6	2	0	0
Scottish National Liberation Army	7	0	8	0	0
Scottish Nationalists	1	0	0	0	0
Scottish Socialist Republican League	2	0	2	0	0
Sea Shepherd Conservation Society	1	0	0	0	0
Seaborne Moslem Raiders	1	0	0	0	0
Seattle Liberation Front	1	0	0	0	0
Secessionists	3	25	5	1	0.333333333333333
Secret Anti-Communist Army (ESA)	19	11	1	1	0.0526315789473684
Secret Army Organization	2	0	0	0	0
Secret Cuban Government	8	0	0	3	0.375
Secret Organization of al-Qa’ida in Europe	4	56	784	0	0
Secret Organization Zero	2	2	0	2	1
Sect of Revolutionaries (Greece)	3	2	0	0	0
Seiji Kesha Kokuyukai	1	0	0	0	0
Seikijuku	3	0	0	0	0
Sekihotai	2	0	0	1	0.5
Self Defense Forces	1	0	0	0	0
Self-Defense Against All Authority	1	0	0	1	1
self-styled iconoclasts-nihilists	1	0	0	0	0
Senki ("Battle Flag")	8	0	0	4	0.5
Separatist Arab Guerrillas	1	1	35	0	0
Separatist Clandestine Organization	1	1	0	0	0
Separatists	194	330	220	74	0.381443298969072
September 11	4	0	0	3	0.75
September 11 Commandos	3	4	0	0	0
September 17 Organization	1	0	0	1	1
Serb demonstrators	1	0	2	1	1
Serb Radical Party	1	0	0	0	0
Serbian Gangsters	1	0	0	0	0
Serbian guerrillas	17	35	61	12	0.705882352941177
Serbian irregulars	2	0	2	2	1
Serbian Militants	7	184	10	6	0.857142857142857
Serbian Nationalists	4	3	0	2	0.5
Serbian rebels	2	1	0	0	0
Serbs	4	2	2	3	0.75
Servants of Islam Organization	1	0	0	0	0
Settlers at Kfar Darom	3	0	0	3	1
Several individuals	1	0	6	0	0
SFT	1	0	0	1	1
Shahid Khalsa Force	2	2	42	0	0
Shahin (Falcon)	1	0	0	1	1
Sham 'unite	1	1	0	0	0
Shan Insurgents	3	5	13	1	0.333333333333333
Shan State Army	3	10	6	1	0.333333333333333
Shan State Progressive Party	11	56	90	0	0
Shan United Revolutionary Army	5	12	1	0	0
Shangytown residents	1	0	11	0	0
Shanti Bahini - Peace Force	99	439	602	1	0.0101010101010101
Shanty Dwellers	1	0	0	0	0
Sharivad 17 Tal-Al-Za'atar(Sept 17 Tal-Al-Za'atar)	1	0	0	1	1
Sharp Sword Organization	1	0	0	1	1
Shaykh Hassan Khalid Forces	1	0	0	1	1
Shaykh Subhi Al-Salih Forces	18	4	3	14	0.777777777777778
Shield of Islam Brigade	2	0	3	0	0
Shiite Muslims	33	147	217	9	0.272727272727273
Shining Path (SL)	4518	11570	13000	108	0.0239043824701195
Shinwari Tribe	1	15	30	0	0
Shonkonjuku Group	1	0	0	0	0
Shop owners	1	0	1	0	0
Siah KAL	1	0	0	0	0
Sicarii	4	1	3	0	0
Sikh Extremists	714	2812	2151	2	0.00280112044817927
Simon Bolivar Guerrilla Coordinating Board (CGSB)	206	391	119	7	0.0339805825242718
Sindhi nationalists	3	6	0	0	0
Sindhu Desh Liberation Army (SDLA)	6	0	3	0	0
Sinhalese Extremists	1	0	45	0	0
Sinhalese Insurgents	1	22	0	0	0
Sinhalese Militants	4	10	0	1	0.25
Sipah-e-Sahaba/Pakistan (SSP)	19	61	47	4	0.210526315789474
Sipah-I-Mohammed	2	41	107	0	0
Sisters in Arms	1	0	1	0	0
Sixth of March Group	1	0	0	1	1
SKIF Detachment	1	0	0	1	1
Skinhead group	1	1	0	1	1
Skinheads	3	3	2	1	0.333333333333333
Slum Dwellers	1	0	1	0	0
Smugglers and Elephant Poachers	1	5	0	0	0
Social Christian Party (PSC)	1	0	0	0	0
Social Resistance	9	0	0	4	0.444444444444444
Socialist Chhatra League	1	1	0	0	0
Socialist Labor Party of Lebanon	1	3	0	1	1
Socialist Patients' Collective (SPK)	3	3	13	3	1
Socialist Recovery Movement	1	0	0	0	0
Socialist Revolutionary Brigade	1	0	0	0	0
Socialist-Nationalist Front (SNF)	1	0	5	1	1
Soldiers of the Algerian Opposition	3	0	0	3	1
Soldiers of the Caliphate	2	1	0	0	0
Soldiers of Truth	7	5	1	5	0.714285714285714
Solidarist Resistance Movement	2	0	0	2	1
Solidarity with imprisoned members of Action Directe (AD)	2	0	0	2	1
Somali Gang	1	3	2	1	1
Somali Guerrillas	1	0	0	1	1
Somali Islamic Front	3	1	2	0	0
Somali National Alliance	2	0	0	2	1
Somali National Movement	7	31	5	3	0.428571428571429
Somali Patriotic Movement	1	0	0	0	0
Somali Salvation Democratic Front (SSDF)	1	0	0	0	0
Somali Salvation Front (SSF)	8	0	2	0	0
Somoza Sympathizers	1	0	0	1	1
Somozists	4	13	1	0	0
Sons of Liberty	2	0	0	0	0
Sons of the Gestapo	1	1	78	0	0
Sons of the South	1	0	0	0	0
Sons of the South (Shiite Muslim Group)	1	0	0	0	0
Soskan tribe	1	11	0	0	0
South African guerrillas	1	1	0	0	0
South African Liberation Support Cadre (SALSC)	3	0	0	0	0
South Lebanon Army	1	0	0	0	0
South Londonderry Volunteers (SLV)	2	0	0	0	0
South Moluccans	9	14	13	3	0.333333333333333
South Ossetian Extremists	1	0	0	1	1
South Ossetian Separatists	10	1	4	0	0
South Sudan Liberation Army (SSLA)	3	20	7	0	0
South-West Africa People's Organization (SWAPO)	63	96	199	8	0.126984126984127
Southern Mobility Movement (Yemen)	11	9	18	0	0
Southern Nucleus of Communist Counterpower	1	0	0	0	0
Southern Sierra Peasant Organization	2	0	0	0	0
Southern Yemen Separatists	1	2	3	0	0
Sovereign Panama Patriotic Front	1	0	0	0	0
Soviet and Cuban-backed rebels/mercenaries	1	1	0	1	1
Spanish Armed Group	4	1	0	0	0
Spanish Basque Battalion (BBE) (rightist)	14	15	43	5	0.357142857142857
Spanish Falange	1	1	3	0	0
Spanish International Communist Party	1	0	0	0	0
Spanish National Action	5	2	1	1	0.2
Special Purpose Islamic Regiment (SPIR)	3	143	0	0	0
Squadrons of Terror (Katibat El Ahoual)	2	7	1	0	0
Squatters	1	0	0	0	0
St. Kitts Nevis Labor Party	1	0	9	0	0
State Council of Indian and Peasant Organization	1	2	2	0	0
Stop the War Coalition	1	0	12	0	0
Strike Enforcers	1	0	2	1	1
Strikers	48	3	79	4	0.0833333333333333
Striking Minors Group	1	0	0	0	0
Struggle Against Misery and Exploitation of Peasants	2	2	0	0	0
Student Demonstrators	4	1	0	1	0.25
Student Front of the People	4	4	1	0	0
Student Militants	1	0	0	0	0
Student Radicals	74	0	18	2	0.027027027027027
Student Revolutionary Front (FER)	1	0	0	1	1
Students	20	3	82	2	0.1
Students  U of PNG	1	0	0	0	0
Students for a Democratic Society	2	0	0	0	0
Students for a Democratic Society (SDS) (German)	1	0	0	1	1
Students Islamic Movement of India (SIMI)	8	63	243	0	0
Subversives	11	5	2	0	0
sucessionists	1	0	0	1	1
Sudan Alliance Forces	4	39	8	0	0
Sudan Liberation Movement	9	19	9	4	0.444444444444444
Sudan People's Liberation Army (SPLA)	45	218	94	10	0.222222222222222
Sudanese mostly Christian rebels	1	0	0	1	1
Sudanese People's Liberation Forces	5	32	6	0	0
Sudtiroler Volkspartei-south tyrol people's party	4	0	0	0	0
Suicide Squad	3	0	0	0	0
Sungu Sungu	1	5	0	0	0
Sunni Muslims	20	54	116	2	0.1
Sunni Supporters	1	77	96	0	0
Support for Refugees (Appui aux Refugies)	1	0	0	1	1
Support of Ocalan-The Hawks of Thrace	1	0	0	1	1
Supporter of Bhutto	1	0	0	0	0
Supporters of Ex-President Gamsakhurdial	10	5	0	0	0
Supporters of Joshua Nkomo	8	23	2	0	0
Supporters of leftist Gana-Oikya Front	2	2	40	0	0
Supporters of opposing candidate Abdu Sakurtan	1	3	18	0	0
Supporters of President J-B Aristide	1	0	0	0	0
supporters of presidential candidate Belisario Bet	1	0	0	0	0
Supporters of Qadhafi	6	0	26	6	1
Supporters of ret. Gen. Lino Oviedo	1	0	3	0	0
Supporters of Right and Freedom	1	0	41	0	0
Supporters of Second Prime Minister Hun Sen	1	0	0	0	0
Supporters Opposition Leader Etienne Tshisekedi	1	8	50	0	0
Supporters, House Speaker Ramon Mitra	1	1	1	0	0
Supreme Command for Jihad and Liberation	2	0	4	0	0
Supreme Council for Islamic Revolution in Iraq (SCIRI)	11	31	1	0	0
Supreme Islamic Council	1	1	0	0	0
Suriname Liberation Front	1	0	0	0	0
Surinamese Amerindians	2	1	0	0	0
Survivors of Golfech	7	0	0	0	0
Survivors of Hama	1	0	0	1	1
suspended policemen	1	0	0	1	1
Swatantra Nepal Dal	1	0	5	0	0
Swaziland Youth Congress (Swayoco)	1	0	0	0	0
Sword of Islam	1	1	0	0	0
Symbionese Liberation Army (SLA)	7	2	0	0	0
Sympathizers of "Iranian People's Zeda'i"	1	0	2	1	1
Sympathizers of Al-Qa`ida Organization	4	0	2	2	0.5
Syndicalist Action Groups	2	0	0	1	0.5
Syrian Battle Front	1	0	2	1	1
Syrian Mujahideen	1	1	0	1	1
Syrian Social Nationalist Party	8	26	17	4	0.5
Syrian Terror	1	0	1	0	0
Syrians	2	0	3	2	1
SYS	2	33	100	0	0
Tacayana Indians	1	0	0	0	0
Taihikai (Great Sadness)	1	0	0	0	0
Taikosha, right wing group	1	0	1	1	1
Tajik Rebels	1	0	0	1	1
Takfir wal-Hijra (Excommunication and Exodus)	4	34	42	0	0
Taliban	2030	5770	5679	212	0.104433497536946
Tamil Eelam Liberation Organization (TELO)	8	38	4	0	0
Tamil Liberation Army	2	0	2	1	0.5
Tamil Makkal Viduthalai Pulikal (TMVP)	2	3	4	0	0
Tamil Nadu Liberation Army	3	0	0	2	0.666666666666667
Tamils	218	1511	928	17	0.0779816513761468
Tanyus Shanin Armed Unit	1	2	1	1	1
Tanzeem Ittehad - I - Ulema Qabail (Tiuq)Tribesmen	1	9	0	0	0
Tanzim	5	0	1	5	1
Tawhid and Jihad	49	843	1652	25	0.510204081632653
Tawhid and Jihad (Palestine)	2	1	0	1	0.5
Taxi Drivers	6	10	35	0	0
Tayeb Al-Afghani's Islamist Group	1	15	6	0	0
Tehreek-e-Nafaz-e-Shariat-e-Mohammadi (TNSM)	2	1	0	0	0
Tehrik al-Mojahedin	2	2	9	0	0
Tehrik-e-Galba Islam	2	2	1	0	0
Tehrik-e-Tuhafaz (Pakistan)	2	0	8	0	0
Tehrik-i-Taliban Pakistan (TTP)	209	1637	3284	11	0.0526315789473684
Tela Mohammed	1	0	0	1	1
Temple Mount Faithful Movement	1	0	0	0	0
Terai Army	9	8	49	0	0
Terai Cobra	2	1	8	0	0
Terai Janatantrik Madhes Party	1	1	0	0	0
Terai Janatantrik Party	1	0	1	0	0
Terai Madheshi Mukti Morcha (TMMM)	1	1	0	0	0
Terai Rastriya Mukti Sena (TRMS)	1	0	30	0	0
Terena Indians	2	0	0	0	0
Terra Lliure	62	1	47	4	0.0645161290322581
Territorial Anti-Fascist Patrols	1	0	6	0	0
Territorial Armed Groups for Communism	1	0	0	0	0
Territorial Cells for Boycotting the Elections	1	0	0	0	0
Territorial Communist Command	1	0	2	0	0
Territorial Communist Units	1	0	0	1	1
Territorial Patrols of Anti-Fascist Vigilance	1	0	0	0	0
Territorial Resistance Army	3	0	0	3	1
Terror Against Terror	7	0	10	4	0.571428571428571
Terrorists	59	105	43	4	0.0677966101694915
Thai Communists	1	1	0	0	0
Thai Islamic Militants	56	39	142	4	0.0714285714285714
Tharuhat Joint Struggle Committee (TJSC)	2	0	0	0	0
Thavar Caste	1	1	0	1	1
The al-Aqsa-Group	1	0	0	1	1
The Aref Boluki Dynamite group	1	0	0	1	1
The Armed Secret Organization	1	0	8	1	1
The Black Sun	1	0	0	1	1
The Call of Jesus Christ	1	0	0	0	0
The Eradication of Evil	2	0	10	0	0
The Extraditables	109	181	411	9	0.0825688073394495
The Front for the Liberation of the Cabinda Enclave – Renewed (FLEC)	2	21	0	1	0.5
The Great Serpent	1	3	0	0	0
The Husayn Ubayyat Martyrs’ Brigades	1	0	0	1	1
The Illegal Fisherman of the Night	1	0	0	1	1
The Inevitables	1	0	0	1	1
The Islamic Movement	1	0	13	0	0
The Islamic Revolution to Liberate Palestine	1	2	41	0	0
The Jean Marc Rouillan Armed and Heartless Columns	1	0	0	0	0
The Jewish Execution with Silence	1	0	1	0	0
The Joint Revolutionary Council	7	14	0	4	0.571428571428571
The Justice Department	15	0	1	0	0
The Nation's Army	1	0	1	1	1
The Northern Alliance (or United Islamic Front for Salvation of Afghanistan – UIFSA)	4	4	12	0	0
The Order (Silent Brotherhood)	8	1	2	0	0
The Order II (Bruder Schweigen Strike Force II)	3	0	0	0	0
The Ordinary Men	1	0	0	0	0
The Organization for the Return of Legality	1	0	0	0	0
The Scorpion	2	0	0	2	1
The Unit of the Chemical Weapons Martyrs	1	6	11	0	0
The United Revolutionary Front of Bhutan	2	5	2	0	0
The United Southern Front	1	0	1	0	0
The War That Was Never Declared	1	0	0	0	0
The World United Formosans for Independence (WUFI)	1	0	0	1	1
Thomas Muenzer Wild Band	1	0	0	0	0
Three Stars Autonomous Commando	1	0	0	0	0
Thunder of Zion	1	0	0	1	1
Tibetan separatists	1	1	0	0	0
Ticuna Indian	1	0	4	0	0
Tigers	1	1	2	0	0
Tigray Peoples Liberation Front (TPLF)	10	317	200	6	0.6
Timorese guerrillas	2	12	6	0	0
Timorese Students	3	0	3	1	0.333333333333333
Togolese Dissidents	3	26	0	0	0
Togolese Peoples Rally	1	0	0	0	0
Tonino Micciche Workers Nucleus	1	0	0	0	0
Tontons Macoutes	1	0	0	1	1
Tony El Pelou Band	2	0	0	0	0
Toposa and Dongiro Tribes	1	89	0	0	0
Tribal Battlefront	6	0	0	0	0
Tribal Clash	1	5	0	0	0
Tribal Group	44	89	169	7	0.159090909090909
Tribal guerrillas	2	9	15	1	0.5
Tribal Separatists	2	7	6	0	0
Tribal Thumb	1	2	0	0	0
Tribesmen Murad Tribe	4	0	0	4	1
Tribesmen, al-Itada	1	0	0	1	1
Trinitarians	1	3	0	0	0
Tripoli Martyrs Battalion	2	0	0	2	1
Tripura National Volunteers (TNV)	29	154	69	1	0.0344827586206897
Tripura Nationalists	1	0	0	0	0
Tripura Separatists	1	0	0	0	0
Tritiya Prastuti Committee (India)	9	3	10	0	0
Tuareg Guerrillas	16	40	15	1	0.0625
Tuaregs	35	128	90	8	0.228571428571429
Tucayana Amerindians	1	0	0	0	0
Tulawie Clan	1	6	0	0	0
Tunisian Armed Resistance	1	41	100	0	0
Tupac Amaru Revolutionary Movement (MRTA)	557	560	551	80	0.143626570915619
Tupac Katari Guerrilla Army (EGTK)	22	5	0	3	0.136363636363636
Tupamaro Revolutionary Movement	4	0	0	3	0.75
Tupamaros (Uruguay)	41	4	0	18	0.439024390243902
Turkestan Islamic Party	2	3	14	0	0
Turkish Communist Party/Marxist (TKP-ML)	28	18	27	2	0.0714285714285714
Turkish Communist Workers Party	3	2	0	0	0
Turkish Hizballah	6	9	6	0	0
Turkish Islamic Commandos	1	2	0	0	0
Turkish Islamic Jihad	2	1	2	2	1
Turkish Leftists	9	0	0	8	0.888888888888889
Turkish Marxist Workers Party	1	0	0	1	1
Turkish People's Liberation Army	69	19	17	47	0.681159420289855
Turkish People's Liberation Front (TPLF)(THKP-C)	36	27	16	2	0.0555555555555556
Turkish radicals	1	0	0	1	1
Turkish Revenge Brigade	1	1	0	0	0
Turkish Revolutionaries	1	0	0	1	1
Turkish separatists (probably Kurds)	2	0	0	2	1
Turks	3	1	0	2	0.666666666666667
Turks of Western Thrace	1	0	0	0	0
Tutsi	23	1332	90	3	0.130434782608696
Tyrol Separatists	2	0	0	0	0
Tyrolean Defense League	1	0	0	0	0
U/I Asian Gang	1	0	0	0	0
U/I Catholic Traditionalists	1	3	1	0	0
U/I Islamic Separatists	2	0	0	0	0
U/I Liberian Gunmen	2	10	3	0	0
U/I Liberians	1	5	7	0	0
U/I Militia Group led by Raul Martinez	1	0	0	1	1
U/I Private army of wral politician	1	10	0	0	0
U/I Snipers	2	12	6	1	0.5
U/I Somali Militiamen	2	5	0	1	0.5
U/l men	1	0	0	0	0
Uganda Democratic Christian Army (UDCA)	1	2	0	0	0
Uganda Federal Army	1	1	4	1	1
Uganda Federal Democratic Alliance (UFEDA)	1	1	1	0	0
Uganda Freedom Movement (UFM)	19	44	7	2	0.105263157894737
Uganda People's Army	15	136	7	2	0.133333333333333
Ugandan People's Democratic Army	1	28	0	0	0
Ugandan Rebels	4	21	23	0	0
Uighur Liberation Organization	1	2	0	0	0
Uighur Separatists	56	80	256	0	0
Ujjan Tribe	1	10	0	0	0
Ukrainian Liberation Front	1	0	0	1	1
Ukranian Nationalist Group	1	0	0	1	1
Ulster Freedom Fighters (UFF)	254	201	64	36	0.141732283464567
Ulster Volunteer Force (UVF)	262	367	28	24	0.0916030534351145
Ultra Conservative Clerical Group	1	0	0	0	0
Ultra Nationalist Group, name not given	1	0	0	0	0
Umar al-Mukhtar Martyr Forces	2	0	0	2	1
Umbane People's Liberation Army (Swaziland)	2	0	0	0	0
Ummah Liberation Army	1	0	0	0	0
Unarmed Algerian	1	0	0	0	0
Unemployed Persons	6	0	0	0	0
Unidad Militar Bolivariana	1	0	0	0	0
Unidentified Infiltrators	1	37	0	0	0
Unified Kurdish Socialist Party	1	0	0	1	1
Unified Workers Command	1	0	0	0	0
Union Du People Corse	1	0	0	1	1
Union Guerrera Blanca (UGB)	14	18	0	0	0
Union members	2	0	2	0	0
Union of Chadian Forces (UFNT)	1	17	14	0	0
Union of Congolese Patriots (UPC)	1	0	1	1	1
Union of Democratic Forces	1	0	0	1	1
Union of Forces for Democracy and Development (UFDD)	3	103	46	1	0.333333333333333
Union of Galilee Christians	1	0	0	0	0
Union of Peaceful Citizens of Algeria	1	0	0	0	0
Union of Revolutionary Communists in Turkey (TIKB)	1	0	0	0	0
Union of the People (UDP)	21	1	16	5	0.238095238095238
Union of the Peoples of the Arabian Peninsula	1	5	10	0	0
Union of Young Kurdish Revolutionaries	1	0	0	1	1
Union Parishad	1	0	7	0	0
Unione di u Populu Corsu (UPC)	1	0	0	1	1
United Action Council	3	0	75	0	0
United Arab Revolution	1	0	1	0	0
United Baloch Army (UBA)	1	0	0	0	0
United Bengali Liberation Front (UBLF)	2	4	12	0	0
United Democratic Front (UDF)	2	6	0	0	0
United Democratic Liberation Army (UDLA)	3	3	1	0	0
United Democratic Terai Liberation Front (UDTLF)	1	0	0	0	0
United Freedom Front (UFF)	29	0	23	1	0.0344827586206897
United Front for Democracy Against Dictatorship	21	0	7	0	0
United Front for Democratic Change (FUC)	4	0	3	1	0.25
United Front for Nigeria's Liberation (UFNL)	1	14	0	0	0
United Janatantrik Terai Mukti Morcha (U-JTMM)	1	1	0	0	0
United Jewish Underground	1	0	0	1	1
United Jihad Council	1	15	100	0	0
United Kuki Liberation Front (UKLF) - India	4	1	0	0	0
United Liberation Front for the New Algeria	1	0	0	1	1
United Liberation Front of Assam (ULFA)	243	575	1947	3	0.0123456790123457
United Liberation Front of Barak Valley (ULFBV) - India	1	0	0	0	0
United Liberation Movement for Democracy in Liberia (ULIMO)	2	4	0	0	0
United Liberation Torchbearers Forces	5	6	19	0	0
United Nasirite Organizaiton	1	0	2	1	1
United National Liberation Front (UNLF)	7	9	29	1	0.142857142857143
United National Party	2	2	7	0	0
United Nicaraguan Opposition	5	8	0	0	0
United People's Democratic Front (UPDF) - Bangladesh	1	0	0	0	0
United People's Democratic Solidarity (UPDS)	7	17	23	1	0.142857142857143
United People's Front	1	0	6	0	0
United Popular Action Front (FAPU)	13	13	13	1	0.0769230769230769
United Popular Action Movement	109	19	30	27	0.247706422018349
United Popular Liberation Army of America	1	0	0	1	1
United Revolutionary Front	2	0	8	0	0
United Self Defense Units of Colombia (AUC)	67	313	23	1	0.0149253731343284
United Somali Congress	3	2	2	0	0
United Students Forum	1	6	150	0	0
United Wa State Army	1	6	3	0	0
Universal Liberation Front	2	0	0	2	1
Universal Proutist Revolutionary Federation	2	0	1	2	1
Unk (men in army uniforms with arms and gas masks)	1	0	0	0	0
Unk Iranian Guerrillas	1	0	0	1	1
unk masked raiders	1	6	0	0	0
unk, protest against USSR invasion of Afghanistan	1	1	0	1	1
unknown leftists opposed to summit	2	0	0	0	0
UNLF (Uganda National Liberation Front)	1	4	0	0	0
Up the IRS, Inc	8	0	0	0	0
Urban Guerrillas	4	0	25	0	0
Urhobo Revolutionary Army	1	0	0	0	0
Usbat al-Ansar (League of Partisans)	1	2	0	1	1
Valais Group Against Hydro-Rhone	1	0	0	0	0
Vandalicia Teodoro Suarez	1	0	0	0	0
Vanguard of Red Youth (AKM)	1	0	0	0	0
Vanuatu Mobile Force (VMF)	2	0	0	1	0.5
Venceremos	1	0	0	1	1
Venezuela Cartel	1	23	0	0	0
Vengence Party	1	1	0	1	1
Vietnamese	1	0	0	1	1
Vietnamese Detainees	1	0	0	0	0
Vietnamese Organization to Exterminate Communists and Restore the Nation	3	3	1	2	0.666666666666667
Vietnamese Refugees	2	0	1	2	1
Vigilante Group	27	250	0	0	0
Vigorous Burmese Student Warriors	2	1	3	1	0.5
Village League	1	0	5	0	0
Villagers	6	4	2	1	0.166666666666667
Vincente Mecha Revolutionary Christians	1	0	0	0	0
Vishwa Hindu Parishad (VHP)	5	3	8	2	0.4
Viviana Gallardo Command	1	0	0	1	1
Volunteers of Innocent People of Nagas (VIPN)	1	0	0	0	0
Vyborg Brigade	1	0	0	0	0
Wahhabi Movement	1	1	6	0	0
Waltraud Boock Group	3	1	1	0	0
War Veterans	1	0	0	1	1
We Who Built Sweden	1	0	0	0	0
Weather Underground, Weathermen	45	1	0	1	0.0222222222222222
Welsh Extremists	5	0	0	0	0
Welsh nationalists	1	0	0	0	0
West Nile Bank Front (WNBF)	1	0	0	0	0
West Side Boys	1	0	0	1	1
Western Somalia Liberation Front	1	0	0	0	0
White Extremists	65	23	169	2	0.0307692307692308
White Guard	1	1	0	0	0
White Legion (Ecuador)	1	0	0	0	0
White Legion (Georgia)	3	18	2	1	0.333333333333333
White Liberation Army	1	0	27	0	0
White Mercenaries	2	6	4	1	0.5
White Panther Party	1	0	0	0	0
White Wolves	11	7	9	0	0
White Wolves (UK)	1	2	30	0	0
Wild Cats	1	1	0	0	0
Wild Geese of the Cities	1	0	0	1	1
Wit Kommando	1	0	0	0	0
Wolves of Islam	1	1	0	0	0
Worker Autonomy, Continuous Struggle	3	0	0	0	0
Worker Counterpower	2	0	0	0	0
Worker's Brigade	1	0	0	0	0
Workers Brigade for Communism	6	1	0	0	0
Workers of the Company	1	0	0	0	0
